Folder,File,Error,Time
phoneRawDataFile-11223344556761-1562681682662,sms_log,File not found,2019-10-23 15:08:15.849678
phoneRawDataFile-99999999999996-1562583065912,gallery_data,File not found,2019-10-23 15:08:15.849678
phoneRawDataFile-11447700885522-1562048926626,location,File not found,2019-10-23 15:08:15.849678
phoneRawDataFile-11447700885522-1562048926626,gallery_data,File not found,2019-10-23 15:08:15.849678
phoneRawDataFile-11447700885522-1561968941951,accounts_list,File not found,2019-10-23 15:08:15.849678
phoneRawDataFile-11447700885522-1561968941951,calendar_events,Empty file,2019-10-23 15:08:15.849678
phoneRawDataFile-11447700885522-1561968941951,location,File not found,2019-10-23 15:08:15.849678
phoneRawDataFile-11447700885522-1561968941951,gallery_data,File not found,2019-10-23 15:08:15.849678
phoneRawDataFile-25035038038038-1561966166461,accounts_list,File not found,2019-10-23 15:08:15.849678
phoneRawDataFile-25035038038038-1561966166461,location,File not found,2019-10-23 15:08:15.849678
phoneRawDataFile-25035038038038-1561966166461,gallery_data,File not found,2019-10-23 15:08:15.849678
phoneRawDataFile-35202482969695-1562674474149,gallery_data,File not found,2019-10-23 15:08:15.849678
phoneRawDataFile-12345678912466-1562699324833,sms_log,Empty file,2019-10-23 15:08:15.849678
phoneRawDataFile-12345678912466-1562699324833,outgoing_call_log,Empty file,2019-10-23 15:08:15.849678
phoneRawDataFile-12345678912466-1562699324833,calendar_events,Empty file,2019-10-23 15:08:15.849678
phoneRawDataFile-12345678912466-1562699324833,location,File not found,2019-10-23 15:08:15.849678
phoneRawDataFile-12345678912466-1562699324833,gallery_data,File not found,2019-10-23 15:08:15.849678
phoneRawDataFile-12345678912466-1562699324833,call_log,Empty file,2019-10-23 15:08:15.849678
phoneRawDataFile-12345678912466-1562699324833,contacts_list,Empty file,2019-10-23 15:08:15.849678
phoneRawDataFile-11447700885522-1562048926626,accounts_list,File not found,2019-10-23 15:08:15.849678
phoneRawDataFile-33669900996633-1562663307430,gallery_data,File not found,2019-10-23 15:08:15.849678
phoneRawDataFile-11223344556761-1562681682662,outgoing_call_log,File not found,2019-10-23 15:08:15.849678
phoneRawDataFile-33669900996633-1562663307430,calendar_events,Empty file,2019-10-23 15:08:15.849678
phoneRawDataFile-11223344556761-1562681682662,accounts_list,File not found,2019-10-23 15:08:15.849678
phoneRawDataFile-11223344556761-1562681682662,filter_app_log,File not found,2019-10-23 15:08:15.849678
phoneRawDataFile-11223344556761-1562681682662,calendar_events,File not found,2019-10-23 15:08:15.849678
phoneRawDataFile-11223344556761-1562681682662,location,File not found,2019-10-23 15:08:15.849678
phoneRawDataFile-11223344556761-1562681682662,gallery_data,File not found,2019-10-23 15:08:15.849678
phoneRawDataFile-11223344556761-1562681682662,call_log,File not found,2019-10-23 15:08:15.849678
phoneRawDataFile-11223344556761-1562681682662,contacts_list,File not found,2019-10-23 15:08:15.849678
phoneRawDataFile-11223344556761-1562681682662,app_install_log,File not found,2019-10-23 15:08:15.849678
phoneRawDataFile-11223344556761-1562681682662,ext_storage_files,File not found,2019-10-23 15:08:15.849678
phoneRawDataFile-11223344556761-1562681682662,sms_sent_log,File not found,2019-10-23 15:08:15.849678
phoneRawDataFile-11223344556761-1562681682662,phone_battery_level,File not found,2019-10-23 15:08:15.849678
phoneRawDataFile-11223344556761-1562681682662,ip_address,File not found,2019-10-23 15:08:15.849678
phoneRawDataFile-11223344556761-1562681682662,device_info,File not found,2019-10-23 15:08:15.849678
phoneRawDataFile-11223344556761-1562681682662,storage_size,File not found,2019-10-23 15:08:15.849678
phoneRawDataFile-28309218800056-1562769991518,calendar_events,Empty file,2019-10-23 15:08:15.849678
phoneRawDataFile-28309218800056-1562769991518,gallery_data,File not found,2019-10-23 15:08:15.849678
phoneRawDataFile-28309218800056-1562769991518,sms_sent_log,Empty file,2019-10-23 15:08:15.849678
phoneRawDataFile-12345678912466-1562699324833,sms_sent_log,Empty file,2019-10-23 15:08:15.849678
