Description,Unit,Islam- abad,Rawal- pindi,Gujran- wala,Sialkot,Lahore,Faisal- abad,Sar- godha,Multan,Baha- walpur,Karachi,Hyder- abad,Sukkur,Larkana,Pesha- war,Bannu,Quetta,Khuz- dar,Average Prices Jan 18,Average Prices  Dec 17,Average Prices Jan 17 ,%change Jan 18 over Dec 17,%change Jan 18 over Jan 17
Wheat,10 Kg,345,345,325,325,347.53,334.38,325,330,342.69,375.25,342.5,337.5,325,360,358.38,350,350,342.25,340.53,346.72,0.51,-1.29
"Wheat Flour, Bag",10 Kg,394.69,387.92,390,380,395,383.75,350,370,380,442.74,420,375,370.63,387.92,400,400,375,388.39,388.45,386.22,-0.02,0.56
"Rice Basmati Broken, (AQ)",1 Kg,89.38,83.33,55,57.5,74.82,86.25,60,87.5,55,78.42,80.39,65,75,81.5,53.5,90,60,72.51,70.86,62.89,2.33,15.3
Rice Irri-6 (Punjab/Sindh),1 Kg,60,52.71,55,47.5,57,60,65,40,47.5,51.73,45,52.5,34,47.5,65,50,50,51.79,51.34,48.82,0.88,6.08
"Bread Plain, Medium Size",Each,45,45,40,40,44.29,45,45,45,45,45.19,44,50,45,35,35,40,35,42.56,42.56,41.12,0,3.5
"Beef With Bone, (AQ)",1 Kg,370.94,362.61,300,300,381.96,350,350,351.67,337.5,425.39,350,325,310,336.67,320,400,320,346.57,344.1,326.11,0.72,6.27
"Mutton, Average Quality",1 Kg,854.69,846.87,650,650,844.64,800,750,756.25,687.5,823.08,725,725,725,733.33,570,725,600,733.32,729.27,659.3,0.56,11.23
"Chicken Farm, Broiler, Live",1 Kg,174.67,158.96,163,169,162.25,166.75,162.5,178.54,169,198.49,188.6,198,183.75,177.25,182.5,183.75,201.25,177.54,166.84,124.64,6.41,42.44
"Milk, Fresh, Unboiled",1 Ltr,102.5,96.25,80,80,77.21,80,70,82.5,67.5,85,84,80,80,85,82.5,90,80,82.5,82.5,80.37,0,2.65
Curd (Dahi),1 Kg,116.25,107.92,100,90,89.47,95,90,92.5,80,130,120,95,95,98.12,90,100,90,98.78,98.65,94.1,0.13,4.97
"Powdered Milk, Nido, Polybag",400 gm,389.74,389.74,389.74,379.49,377.28,389.74,379.48,389.74,379.5,379.49,379.48,389.74,369.66,370,365,389.74,370,381.03,380.37,376.7,0.17,1.15
"Eggs Hen, Farm",Dozen,112.85,104.17,109.38,109.38,102.5,105,102.5,107.29,108,111.4,115.39,113,112.5,118.13,131.56,137.5,127.5,113.41,128.78,129.05,-11.94,-12.12
"Mustard Oil, Average Quality",1 Kg,240,231.67,150,160,183.93,200,170,184.17,170,183.08,160,150.63,190,220,172.5,190,175,184.18,184.71,181.49,-0.29,1.48
"Cooking Oil, Tin, (SN)",2.5 Ltr,469.69,470,475,467,485,475,475,475,475,474.75,465,468,460,470,480,445,460,469.97,469.71,462.59,0.06,1.6
"Vegetable Ghee, Tin, (SN)",2.5 Kg,465,465,470,452,480,470,470,470,470,469.75,460,453,450,460,470,440,455,462.93,462.94,454.82,0,1.78
"Veg. Ghee, Loose/Pouch, (SN)",1 Kg,151.25,147.5,140,140,144.36,137.88,135,151.5,150,150.32,175,145,130,159.17,158.87,130,130,145.64,145.48,145.07,0.11,0.39
Bananas,Dozen,131.25,95,75,73.75,71.43,51.25,50,78.34,67.5,64.52,46.88,63.75,56.25,72.92,72.5,65,62.5,70.46,65.86,70.26,6.98,0.28
"Pulse Masoor, Washed",1 Kg,128.75,110.42,140,160,126.43,131.25,155,103.33,110,107.5,101.88,110,96.25,90,100,136.25,140,120.42,118.8,140.21,1.36,-14.11
"Pulse Moong, Washed",1 Kg,130.94,126.46,105,110,115.18,116.25,101.25,100,110,119.23,113.13,125,120,110,95,158.75,135,117.13,113.99,136.27,2.75,-14.05
"Pulse Mash, Washed",1 Kg,168.75,145.83,165,160,186.43,165,190,150.83,145,126.92,127.5,126.25,118.75,139.08,123.75,221.25,230,158.26,160.21,207.87,-1.22,-23.87
"Pulse Gram, Washed",1 Kg,132.03,128.33,100,105.63,113.93,105,105,113.33,120,122.41,120,120,122.5,117.87,101.88,157.5,140,119.14,118.52,163.11,0.52,-26.96
Potatoes,1 Kg,47.82,39.79,36.25,37.5,32.32,30,22.5,31.25,30,31.88,24.85,25.63,26.88,34.33,35.63,36.25,37.5,32.96,41.45,25.02,-20.48,31.73
Onions,1 Kg,68.91,62.19,57.5,58.75,55.63,50.63,47.5,51.67,56.25,49.81,42.03,47.5,53.75,58.96,50,58.75,42.5,53.67,58.52,28.16,-8.29,90.59
Tomatoes,1 Kg,58.6,49.48,50,52.5,47.06,50.63,40,40,41.25,34.57,26.8,30,33.75,44.17,35.94,46.25,58.75,43.51,74.44,31.53,-41.55,38
"Sugar, Refined",1 Kg,57.63,54.79,53.63,52,54.89,52.38,51.5,51.5,52.13,55.07,51,50.25,52,53.46,51.63,54.25,55,53.12,53.91,64.8,-1.47,-18.02
"Gur, Average Quality",1 Kg,109.38,98.33,80,85,93.21,75,65,72.5,56.25,91.73,80.47,62.5,72.69,87.5,84.38,90,87.5,81.85,84.03,86.01,-2.59,-4.84
"Salt Powder, Loose, Lahori",1 Kg,12,12,10,10,17,10,10,10,12,12,12,10,10,10,12,10,10,11.12,11.09,10.71,0.27,3.83
"Red Chilly Powder, Loose",1 Kg,300,258.86,240,240,247.86,250,280,235,225,295.48,265,250,233.75,241.67,215,310,300,258.1,259.58,273.26,-0.57,-5.55
Garlic,1 Kg,220,171.88,146.25,155,167.86,132.5,145,155,155,175.29,165.94,150,135,182.5,170,222.5,211.25,168.29,161.46,301.56,4.23,-44.19
"Tea, Lipton Yellow Label, Packet",200 gm,178.95,178.95,178.95,178.95,178.94,178.95,179,178.95,179,178.95,178.94,178.94,178.94,178.95,179,178.94,178.94,178.96,180.49,177.73,-0.85,0.69
"Cooked Beef, Average Hotel",Plate,112.5,106.46,100,62.5,102.86,130,100,80,117.5,93.08,77.5,100,100,120,105,90,140,102.2,99.93,92.61,2.27,10.36
"Cooked Daal, Average Hotel",Plate,78.75,75.83,40,40,67.32,55,50,40,60,61.44,52.5,50,65,60,50,65,80,58.28,58.27,56.91,0.02,2.41
"Tea Prepared, Average Hotel",Cup,22.5,22.5,20,20,20,22.5,20,20,22.5,21.73,20,25,27.5,15,20,21,20,21.19,21.19,20.53,0,3.21
"Cigarettes, K-2, 20's",Packet,50,50,50,50,50,50,50,50,48,55,50,50,50,55,55,50,50,50.76,50.76,66.47,0,-23.63
"Long Cloth, 57"", (SN)",1 mtr,215,205,137.5,135,267.5,237.5,245,250,180,175.39,240,230,200,333.33,157.5,210,195,212.57,212.3,205.57,0.13,3.41
"Shirting, (AQ), (SN)",1 mtr,206.25,190,175,175,155,125,150,210,115,166.15,140,120,157.5,300,147.5,160,190,169.55,169.55,164.3,0,3.2
"Lawn Printed, (SN)",1 mtr,240,220,205,205,305,240,360,150,169,415,280,280,366.66,360,187.5,200,165,255.77,255.77,251.21,0,1.82
"Georgette, (AQ), (SN)",1 mtr,155,152.5,132.5,130,135,160,140,105,110,121.54,120,125,130,120.83,100,105,95,125.73,125.68,124.13,0.04,1.29
"Gents Sandal, Bata",Pair,699,699,699,699,699,699,699,699,699,699,699,699,699,699,699,699,699,699,699,699,0,0
"Gents Chappal Spng, Bata",Pair,179,179,179,179,179,179,179,179,179,180.54,179,179,179,179,179,179,179,179.09,179.09,179.09,0,0
"Ladies Sandal, Bata",Pair,499,499,499,499,499,499,499,499,549,506.69,499,499,499,499,499,499,499,502.39,502.39,502.39,0,0
"Elec. Charges, Upto 50 Units",Unit,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0
"Gas Charges, Upto 3.3719 MMBTU",MMBT,128.7,128.7,128.7,128.7,128.7,128.7,128.7,128.7,128.7,128.7,128.7,128.7,128.7,128.7,128.7,128.7,,128.7,128.7,128.7,0,0
Kerosene Oil,1 Ltr,120,115,105,105,120,90,100,95,110,121.15,96,100,120,105,100,77,76,103.24,95.81,77.86,7.75,32.6
Firewood Whole,40 Kg,787.5,741.67,737.5,700,810.71,600,550,690,625,651.92,550,400,450,729.17,500,650,500,627.85,623.75,608.9,0.66,3.11
Energy Saver,Each,167.5,167.5,155,155,170,162.5,180,165,175,180,200,155,180,180,160,180,150,169.56,169.56,167.79,0,1.05
"Washing Soap, (Nylon), (SN)",Cake,25,25,16,20,40,25,40,22,20,14,25,26,30,20,22.5,30,40,25.91,25.91,25.91,0,0
"Match Box, Regular",Each,2,2,2,2,2.5,2.5,3,2,2.5,2,2,2.5,2.5,2,3,2,1.5,2.24,2.23,2.18,0.45,2.75
"Petrol, Super",1 Ltr,81.96,81.96,81.97,83.6,81.89,81.96,82.09,82.65,83.04,81.95,82.65,81.96,82.1,81.96,83.7,81.84,83.98,82.43,78.32,67.92,5.25,21.36
Hi Speed Diesel (HSD),1 Ltr,90.37,90.37,90.38,91.7,90.26,90.37,90.51,90.99,91.6,90.36,91.07,90.37,90.06,90.37,91.48,90.21,92.66,90.77,86.93,77.13,4.42,17.68
"LPG Cylinder, 11kg",Each,1530,1500,1306.25,1430,1333.75,1362.5,1325,1305,1402.5,1292.5,1402.5,1430,1430,1430,1325,1350,1325,1381.18,1389.34,1162.46,-0.59,18.82
Telephone Local Call,P/Call,3.94,3.94,3.94,3.94,3.94,3.94,3.94,3.94,3.94,3.94,3.94,3.94,3.94,3.94,3.94,3.94,3.94,3.94,3.94,3.94,0,0
"Soap, LifeBuoy",Each,42,42,42,42,42,42,42,42,38,41,37.75,41,40,42,40,42,42,41.16,41.76,37.62,-1.44,9.41
