,Type,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,4s,6s,Ct,St,Mat,Inns,Balls,Runs,Wkts,BBI,BBM,Ave,Econ,SR,4w,5w,10
0,Tests,13,23,5,297,52,16.50,493,60.24,0,1,46,2,5,0,13,25,2408,1345,36,5/41,6/93,37.36,3.35,66.8,0,1,0
1,ODIs,51,17,10,56,13,8.00,63,88.88,0,0,6,0,11,0,51,50,2585,2385,61,4/33,4/33,39.09,5.53,42.3,2,0,0
2,T20Is,5,2,2,10,5*,-,12,83.33,0,0,1,0,0,0,5,5,105,148,11,3/9,3/9,13.45,8.45,9.5,0,0,0
3,First-class,51,84,17,1433,72*,21.38,2573,55.69,0,5,203,8,14,0,51,87,8052,4435,162,6/46,8/117,27.37,3.30,49.7,4,9,0
4,List A,85,33,15,118,24,6.55,146,80.82,0,0,9,1,21,0,85,82,3964,3525,107,4/33,4/33,32.94,5.33,37.0,2,0,0
5,T20s,25,12,6,100,27*,16.66,100,100.00,0,0,9,0,4,0,25,25,501,671,30,4/25,4/25,22.36,8.03,16.7,1,0,0
